,ID,Count
0,,355.6929741756833
1,,285.98917631697134
2,,243.835512902471
3,,202.96033040829496
4,,172.08457330864684
5,,155.16504891504147
6,,168.04990904366693
7,,196.29139198270636
8,,227.65153656347778
9,,296.25567617355273
10,,423.4538238951616
11,,472.7273614769153
12,,481.0437309417513
13,,428.3713046422134
14,,461.16148415085684
15,,458.4253359774438
16,,449.73461163940544
17,,463.2914798828443
18,,477.8494296991312
19,,510.3951198610835
20,,493.6899752143163
21,,463.8109147246325
22,,468.50802060776977
23,,460.37691678404803
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
